Regression,,,,,,
Regression Model,Linear,,,,,
,,,,,,
LINEST raw output,,,,,,
0.466016326508623,21.6711235235169,,,,,
0.269513681186967,1.15068016453925,,,,,
0.018121058546531,6.32470086690088,,,,,
2.98978963760274,162,,,,,
119.597089873593,6480.29825103583,,,,,
,,,,,,
Regression Statistics,,,,,,
R^2,0.018121058546531,,,,,
Standard Error,6.32470086690088,,,,,
Count of X variables,1,,,,,
Observations,164,,,,,
Adjusted R^2,0.012060077426447,,,,,
,,,,,,
Analysis of Variance (ANOVA),,,,,,
,df,SS,MS,F,Significance F,
Regression,1,119.597089873593,119.597089873593,2.98978963760274,0.085696035592554,
Residual,162,6480.29825103583,40.0018410557767,,,
Total,163,6599.89534090942,,,,
,,,,,,
Confidence level,0.95,,,,,
,,,,,,
,Coefficients,Standard Error,t-Statistic,P-value,Lower 95%,Upper 95%
Intercept,21.6711235235169,1.15068016453925,18.83331632139,1.19075806366306E-42,19.3988572380518,23.9433898089819
log_count,0.466016326508623,0.269513681186967,1.7291008176514,0.085696035592554,-0.06619659425371,0.998229247270957
,,,,,,
log_count,Predicted Y,avg_score,Residual,,,
4.75359019110636,23.8863741621037,21.7768052516411,-2.10956891046253,,,
6.54391184556479,24.7206932827832,19.1397590361446,-5.58093424663865,,,
5.80513496891649,24.3764111966181,26.8382066276803,2.46179543106224,,,
2.56494935746154,22.8664318007617,23,0.133568199238258,,,
1.94591014905531,22.5779494228955,21.1860465116279,-1.39190291126756,,,
2.30258509299405,22.7441657700275,22.6206896551724,-0.123476114855052,,,
2.83321334405622,22.9914471983292,23.2763157894737,0.284868591144534,,,
6.65544035036765,24.7726673868925,26.1375,1.36483261310754,,,
3.04452243772342,23.0899206859178,19.0545454545455,-4.03537523137236,,,
5.63478960316925,24.2970274750348,25.8645833333333,1.56755585829855,,,
5.35658627467201,24.167380181866,19.3101449275362,-4.85723525432979,,,
5.26785815906333,24.126031431372,26.5007949125596,2.37476348118759,,,
6.07764224334903,24.503404035596,20.7827715355805,-3.72063250001548,,,
4.4188406077966,23.7303753909894,19.7946127946128,-3.93576259637657,,,
1.94591014905531,22.5779494228955,21.5043859649123,-1.07356345798318,,,
2.30258509299405,22.7441657700275,22.5781637717122,-0.166001998315306,,,
